tensor(0.6772, grad_fn=<MseLossBackward0>) tensor(0.0137, grad_fn=<MseLossBackward0>)
tensor(0.6639, grad_fn=<MseLossBackward0>) tensor(0.0134, grad_fn=<MseLossBackward0>)
tensor(0.6313, grad_fn=<MseLossBackward0>) tensor(0.0063, grad_fn=<MseLossBackward0>)
tensor(0.6675, grad_fn=<MseLossBackward0>) tensor(0.0084, grad_fn=<MseLossBackward0>)
tensor(0.6798, grad_fn=<MseLossBackward0>) tensor(0.0091, grad_fn=<MseLossBackward0>)
tensor(0.6863, grad_fn=<MseLossBackward0>) tensor(0.0069, grad_fn=<MseLossBackward0>)
tensor(0.6556, grad_fn=<MseLossBackward0>) tensor(0.0090, grad_fn=<MseLossBackward0>)
tensor(0.6248, grad_fn=<MseLossBackward0>) tensor(0.0104, grad_fn=<MseLossBackward0>)
tensor(0.6229, grad_fn=<MseLossBackward0>) tensor(0.0066, grad_fn=<MseLossBackward0>)
tensor(0.6345, grad_fn=<MseLossBackward0>) tensor(0.0137, grad_fn=<MseLossBackward0>)
tensor(0.6623, grad_fn=<MseLossBackward0>) tensor(0.0059, grad_fn=<MseLossBackward0>)
tensor(0.6431, grad_fn=<MseLossBackward0>) tensor(0.0123, grad_fn=<MseLossBackward0>)
tensor(0.6126, grad_fn=<MseLossBackward0>) tensor(0.0112, grad_fn=<MseLossBackward0>)
tensor(0.6548, grad_fn=<MseLossBackward0>) tensor(0.0114, grad_fn=<MseLossBackward0>)
tensor(0.6918, grad_fn=<MseLossBackward0>) tensor(0.0052, grad_fn=<MseLossBackward0>)
tensor(0.6577, grad_fn=<MseLossBackward0>) tensor(0.0084, grad_fn=<MseLossBackward0>)
tensor(0.6647, grad_fn=<MseLossBackward0>) tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.6427, grad_fn=<MseLossBackward0>) tensor(0.0082, grad_fn=<MseLossBackward0>)
tensor(0.6333, grad_fn=<MseLossBackward0>) tensor(0.0102, grad_fn=<MseLossBackward0>)
tensor(0.6447, grad_fn=<MseLossBackward0>) tensor(0.0135, grad_fn=<MseLossBackward0>)
tensor(0.6872, grad_fn=<MseLossBackward0>) tensor(0.0486, grad_fn=<MseLossBackward0>)
tensor(0.6726, grad_fn=<MseLossBackward0>) tensor(0.0575, grad_fn=<MseLossBackward0>)
tensor(0.6988, grad_fn=<MseLossBackward0>) tensor(0.0598, grad_fn=<MseLossBackward0>)
tensor(0.6585, grad_fn=<MseLossBackward0>) tensor(0.0505, grad_fn=<MseLossBackward0>)
tensor(0.6853, grad_fn=<MseLossBackward0>) tensor(0.0188, grad_fn=<MseLossBackward0>)
tensor(0.6582, grad_fn=<MseLossBackward0>) tensor(0.0124, grad_fn=<MseLossBackward0>)
tensor(0.6489, grad_fn=<MseLossBackward0>) tensor(0.0245, grad_fn=<MseLossBackward0>)
tensor(0.7158, grad_fn=<MseLossBackward0>) tensor(0.0297, grad_fn=<MseLossBackward0>)
tensor(0.6700, grad_fn=<MseLossBackward0>) tensor(0.0373, grad_fn=<MseLossBackward0>)
tensor(0.7068, grad_fn=<MseLossBackward0>) tensor(0.0445, grad_fn=<MseLossBackward0>)
tensor(0.6917, grad_fn=<MseLossBackward0>) tensor(0.0301, grad_fn=<MseLossBackward0>)
tensor(0.6654, grad_fn=<MseLossBackward0>) tensor(0.0190, grad_fn=<MseLossBackward0>)
tensor(0.6175, grad_fn=<MseLossBackward0>) tensor(0.2297, grad_fn=<MseLossBackward0>)
tensor(1.0119, grad_fn=<MseLossBackward0>) tensor(0.4585, grad_fn=<MseLossBackward0>)
tensor(1.9038, grad_fn=<MseLossBackward0>) tensor(1.3191, grad_fn=<MseLossBackward0>)
tensor(2.4864, grad_fn=<MseLossBackward0>) tensor(2.0607, grad_fn=<MseLossBackward0>)
tensor(3.2580, grad_fn=<MseLossBackward0>) tensor(2.5602, grad_fn=<MseLossBackward0>)
tensor(3.8699, grad_fn=<MseLossBackward0>) tensor(2.8864, grad_fn=<MseLossBackward0>)
tensor(3.7409, grad_fn=<MseLossBackward0>) tensor(2.9523, grad_fn=<MseLossBackward0>)
tensor(3.3601, grad_fn=<MseLossBackward0>) tensor(2.8343, grad_fn=<MseLossBackward0>)
tensor(2.9462, grad_fn=<MseLossBackward0>) tensor(2.5120, grad_fn=<MseLossBackward0>)
tensor(2.6851, grad_fn=<MseLossBackward0>) tensor(1.9279, grad_fn=<MseLossBackward0>)
tensor(2.0052, grad_fn=<MseLossBackward0>) tensor(1.4086, grad_fn=<MseLossBackward0>)
tensor(1.5482, grad_fn=<MseLossBackward0>) tensor(0.9302, grad_fn=<MseLossBackward0>)
